,Date,Place,Title,Band,Open,Start
25,2018-06-26,梅田Zeela,Boys Innovation vol.11,"['Tigh-Z', 'VELLE.J', 'Dio Crave', '熱血!!Acti部', 'WITH DOM', '新世紀えぴっくすたぁネ申', 'KEN.', 'BUZZ-ER.', 'マッシュアップ', 'A.G.E', '[O.A]Ryowook(from VELLE.J)', '[MC]DJ黒髪のリリー']",16:00:00,17:00:00
26,2018-06-27,梅田Zeela,BREAK THE ZEELA,"['Re:Answer', 'Goodbye Mozart', 'LAW OF LIBERTY', 'Annon', 'Will Find Ours']",18:00:00,18:30:00
27,2018-06-28,梅田Zeela,忘憂×梅田Zeela共同企画 「忘憂アセンションVer.C -孤独の夜レコ発-」,"['忘憂', 'ofuton', '筋肉少女ステーション', 'shule And christmas', 'さすらいナンバープレート', 'ginen']",17:30:00,18:00:00
28,2018-06-29,梅田Zeela,anfiel ONEMAN TOUR 2018 「KiLLER GOURMET」,['アンフィル'],18:00:00,18:30:00
29,2018-06-30,梅田Zeela,同人的ダメ系ライブ　豪・蛙音,"['ヘテロプロダクション', '井戸掘削部', 'ぷりんせす☆れいやあ', 'アニバサダー', 'ほーりーちゃんまいえんぱいあ', '魔法の※らんど', 'RAYGUNS', '海賊版戦隊セイクリッドヘキサゴン']",14:30:00,15:00:00
0,2018-07-01,梅田Zeela,BASS ON TOP presents SOUND SHOCK 2018 プレイベント -大阪編-,"['甲南大学 文化会軽音楽部', '大手前大学 軽音楽部', '兵庫教育大学 軽音楽部', '相愛大学 軽音楽部', '摂南大学 フォークソングmusic研究部', '近畿大学 文化会軽音楽部音楽団', '大手前大学 アコースティックサウンド部', '阪南大学 Music Lovers', '関西大学 Banditz']",13:30:00,13:45:00
1,2018-07-02,梅田Zeela,群像とレイトショー vol.2,"['chouchou', 'MANA(ABSTRACTION)', 'アスミライ', 'フェイクブルー', '【GUEST】My Girl(※都合により急遽アコースティック編成での出演になりました。)']",18:00:00,18:30:00
2,2018-07-03,梅田Zeela,Helter Skelter vol.3,"['Arclight', 'LODYPOPS', ""pajama d'red"", 'The Mayllows', 'Kangaroo note']",18:00:00,18:30:00
3,2018-07-04,梅田Zeela,Today Never Knows vol.6,"['ヴォイスクラッカー', 'UANDistory', 'ジンバジ', '芝岡翔梧']",18:30:00,19:00:00
4,2018-07-05,梅田Zeela,水都音楽祭×梅田Zeela pre.「sweet music award」,"['CHIKIMARCH', 'First Penguin', '言ノ葉', 'Zililili']",18:30:00,19:00:00
5,2018-07-07,梅田Zeela,MICBAM始動主催,"['MICBAM', 'マーブルヘッド', 'Deviloof', 'モルヒネ', 'Houts', '※出演予定のCANIVALですが、大雨による交通事情により出演キャンセルとなりました。']",00:00:00,00:00:00
6,2018-07-08,梅田Zeela,夏福2018,"['秋村充（ハートたち）', 'COSMOS', 'Slimcat', 'And Because', 'tonetone', '林青空', '大東まみ', 'SQOOKUM', '花柄ランタン', 'グッバイフジヤマ', '3markets[]', 'Andend boom', 'みのべありさ', 'ippuku', '白いアトリエ', 'sheme', '堤信二', 'Foi', 'びわ湖くん', 'yeti let you notice', 'Easycome', '大橋ちっぽけ', 'KITANO REM', 'Koochewsen', 'コシモトユイカ', '本棚のモヨコ', 'my beautiful slumber', '山口穂乃佳', '余命百年', 'ArtTheaterGuild', 'ofulover', '芝岡翔梧', 'the paddles', '松本幸太朗', '麻痺するポケット', 'Mr.Nuts', 'ULTRA CUB', 'Emu sickS', 'ソウルフード', '曽我部瑚夏', 'TANAKA OF THE HAMADA', '徳永由希とTHE ゆとり逆団', 'Transit My Youth', 'マイアミパーティ', 'レベル27']",12:00:00,12:00:00
